City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Cidreira,BR,2020-02-24 03:39:37,-30.18,-50.21,72.64,75,15,25.12
179,Sitka,US,2020-02-24 03:39:37,57.05,-135.33,33.8,80,75,5.82
180,Hofn,IS,2020-02-24 03:39:37,64.25,-15.21,40.01,75,100,31.09
181,Acari,PE,2020-02-24 03:39:37,-15.43,-74.62,68.07,86,85,2.91
182,Chame,PA,2020-02-24 03:39:37,8.58,-79.88,80.01,73,20,10.29
183,Kaeo,NZ,2020-02-24 03:39:37,-35.1,173.78,77.0,58,0,5.01
184,Mongo,TD,2020-02-24 03:39:38,12.18,18.69,65.25,24,0,10.22
185,Rodrigues Alves,BR,2020-02-24 03:39:38,-7.74,-72.65,77.0,100,100,0.81
186,Atherton,GB,2020-02-24 03:39:38,53.52,-2.49,39.99,86,100,6.93
187,Sinnamary,GF,2020-02-24 03:39:38,5.38,-52.95,78.75,82,97,16.08
188,Copiapo,CL,2020-02-24 03:39:38,-27.37,-70.33,62.6,82,0,8.05
189,Nishihara,JP,2020-02-24 03:39:39,26.18,127.76,71.6,60,20,8.05
190,Guilin,CN,2020-02-24 03:39:39,25.28,110.29,75.2,57,40,17.9
191,Konstantinovsk,RU,2020-02-24 03:39:39,47.58,41.09,39.74,87,100,16.46
192,Sadove,UA,2020-02-24 03:39:39,46.25,30.18,41.0,86,100,6.71
193,Ordu,TR,2020-02-24 03:37:32,40.91,37.68,41.43,74,0,6.33
194,Marsabit,KE,2020-02-24 03:39:40,2.33,37.99,74.41,79,92,24.0
195,Kargopol,RU,2020-02-24 03:39:40,61.51,38.95,31.64,96,94,8.99
196,Luderitz,NA,2020-02-24 03:39:40,-26.65,15.16,73.24,49,0,7.23
197,Palasa,IN,2020-02-24 03:39:40,18.77,84.42,77.16,49,0,3.58
198,Jaranwala,PK,2020-02-24 03:39:40,31.33,73.43,62.6,50,55,0.76
199,Geraldton,AU,2020-02-24 03:39:41,-28.77,114.6,84.2,66,0,12.75
200,Sur,OM,2020-02-24 03:39:34,22.57,59.53,70.81,56,67,2.95
201,Cairns,AU,2020-02-24 03:39:41,-16.92,145.77,82.0,94,90,4.7
202,Salalah,OM,2020-02-24 03:36:01,17.02,54.09,73.4,69,40,4.7
203,Vidim,RU,2020-02-24 03:39:41,56.41,103.11,11.41,96,100,4.07
204,Saint George,US,2020-02-24 03:36:52,37.1,-113.58,53.01,57,1,3.36
205,Williams Lake,CA,2020-02-24 03:39:42,52.14,-122.14,24.8,92,40,3.36
206,Ketchikan,US,2020-02-24 03:39:42,55.34,-131.65,33.8,100,90,13.87
207,Riyadh,SA,2020-02-24 03:35:05,24.69,46.72,66.2,72,100,4.7
208,Requena,ES,2020-02-24 03:39:42,39.49,-1.1,48.0,93,0,5.82
209,Dunedin,NZ,2020-02-24 03:39:42,-45.87,170.5,66.0,61,42,14.0
210,Nouadhibou,MR,2020-02-24 03:39:43,20.93,-17.03,73.4,60,95,17.22
211,Sistranda,NO,2020-02-24 03:39:43,63.73,8.83,33.8,75,75,20.8
212,Asau,RO,2020-02-24 03:39:43,46.43,26.4,53.6,58,40,18.34
213,Maubeuge,FR,2020-02-24 03:39:43,50.28,3.97,43.0,75,100,3.36
214,Mehran,IR,2020-02-24 03:39:43,33.12,46.16,46.4,65,40,6.93
215,Nome,US,2020-02-24 03:39:44,64.5,-165.41,6.8,77,90,10.29
216,North Bend,US,2020-02-24 03:39:44,43.41,-124.22,46.99,75,90,4.7
217,Cozumel,MX,2020-02-24 03:39:44,20.51,-86.95,75.0,83,40,5.82
218,Oranjemund,NA,2020-02-24 03:39:44,-28.55,16.43,77.9,25,0,7.85
219,Villa Maria,AR,2020-02-24 03:39:44,-32.41,-63.24,66.04,40,0,9.42
220,Bilma,NE,2020-02-24 03:39:44,18.69,12.92,56.25,36,99,13.27
221,Jalu,LY,2020-02-24 03:39:45,29.03,21.55,50.36,71,53,8.46
222,Nushki,PK,2020-02-24 03:39:45,29.55,66.02,59.67,38,0,5.66
223,Bairiki,KI,2020-02-24 03:39:45,1.33,172.98,89.6,70,40,8.05
224,Aklavik,CA,2020-02-24 03:39:45,68.22,-135.01,-5.8,83,90,3.36
225,Mahebourg,MU,2020-02-24 03:39:45,-20.41,57.7,80.01,94,20,4.7
226,Nagato,JP,2020-02-24 03:35:48,34.38,131.2,59.0,71,52,5.82
227,Laguna,US,2020-02-24 03:39:46,38.42,-121.42,59.0,76,1,2.64
228,Nisia Floresta,BR,2020-02-24 03:39:46,-6.09,-35.21,82.4,78,40,8.05
229,Goundam,ML,2020-02-24 03:39:46,16.41,-3.67,76.28,12,0,14.05
230,The Valley,AI,2020-02-24 03:39:46,18.22,-63.06,78.8,69,20,1.12
231,Awjilah,LY,2020-02-24 03:39:47,29.11,21.29,50.36,71,53,8.46
232,Tasiilaq,GL,2020-02-24 03:39:47,65.61,-37.64,6.8,71,0,4.7
233,Blagoyevo,RU,2020-02-24 03:39:47,63.37,47.92,28.31,93,100,11.65
234,Fort Nelson,CA,2020-02-24 03:39:47,58.81,-122.7,21.2,62,75,3.36
235,Mao,ES,2020-02-24 03:39:47,39.89,4.27,48.2,93,0,5.82
236,Raudeberg,NO,2020-02-24 03:39:48,61.99,5.14,37.4,74,100,16.11
237,Sept-Iles,CA,2020-02-24 03:39:48,50.2,-66.38,27.0,92,75,6.93
238,San Patricio,MX,2020-02-24 03:39:48,19.22,-104.7,77.5,76,0,6.91
239,Faro,PT,2020-02-24 03:39:48,37.02,-7.93,59.0,66,0,6.93
240,Anapskaya,RU,2020-02-24 03:39:48,44.89,37.38,44.6,81,75,20.13
241,Leningradskiy,RU,2020-02-24 03:39:48,69.38,178.42,-15.12,71,95,3.89
242,Zambrano,CO,2020-02-24 03:39:49,9.75,-74.82,76.93,67,36,6.15
243,Port Shepstone,ZA,2020-02-24 03:39:49,-30.74,30.45,58.66,90,15,6.02
244,Hoquiam,US,2020-02-24 03:39:49,46.98,-123.89,44.01,87,90,17.22
245,Kijang,KR,2020-02-24 03:39:49,35.24,129.21,57.2,24,96,5.82
246,Salaga,GH,2020-02-24 03:39:49,8.55,-0.52,80.11,21,0,3.49
247,Kondinskoye,RU,2020-02-24 03:39:50,59.65,67.41,20.41,94,88,11.59
248,Puerto Escondido,MX,2020-02-24 03:38:27,15.85,-97.07,80.6,83,40,5.82
249,Touros,BR,2020-02-24 03:35:37,-5.2,-35.46,78.8,88,40,3.36
250,Fershampenuaz,RU,2020-02-24 03:39:50,53.52,59.81,16.21,92,100,12.17
251,Faya,SA,2020-02-24 03:39:50,18.39,42.45,59.0,93,16,5.82
252,Faanui,PF,2020-02-24 03:39:51,-16.48,-151.75,83.39,70,6,9.04
253,Yerbogachen,RU,2020-02-24 03:39:51,61.28,108.01,16.68,88,100,13.09
254,Saint-Louis,SN,2020-02-24 03:39:51,16.33,-15.0,87.8,20,100,14.88
255,Camacha,PT,2020-02-24 03:39:51,33.08,-16.33,64.4,87,20,12.75
256,Thinadhoo,MV,2020-02-24 03:39:51,0.53,72.93,82.78,81,69,15.93
257,Bereda,ES,2020-02-24 03:39:52,43.27,-7.54,48.0,100,90,2.24
258,Cahors,FR,2020-02-24 03:39:52,44.42,1.33,46.99,93,90,3.36
259,Odweyne,SO,2020-02-24 03:39:52,9.41,45.06,59.94,45,84,0.36
260,Binghamton,US,2020-02-24 03:39:52,42.1,-75.92,39.2,32,1,6.93
261,Shakiso,ET,2020-02-24 03:39:52,5.75,38.92,57.34,41,75,4.72
262,Upata,VE,2020-02-24 03:39:53,8.01,-62.4,73.17,87,42,4.85
263,Kudahuvadhoo,MV,2020-02-24 03:39:53,2.67,72.89,82.99,77,55,17.09
264,Lagoa,PT,2020-02-24 03:39:53,39.05,-27.98,59.83,79,84,11.21
265,Ilulissat,GL,2020-02-24 03:39:53,69.22,-51.1,1.4,64,100,10.29
266,Ippy,CF,2020-02-24 03:39:54,6.27,21.22,69.8,17,83,4.07
267,Zhenlai,CN,2020-02-24 03:39:54,45.85,123.3,27.16,70,2,9.55
268,Ishigaki,JP,2020-02-24 03:39:54,24.34,124.16,75.2,64,20,11.41
269,Cabedelo,BR,2020-02-24 03:39:54,-6.98,-34.83,80.6,83,20,8.05
270,Varkaus,FI,2020-02-24 03:39:54,62.33,27.87,26.01,99,2,1.01
271,Bandarbeyla,SO,2020-02-24 03:39:55,9.49,50.81,77.14,76,96,16.13
272,Baykit,RU,2020-02-24 03:39:55,61.67,96.37,10.31,88,98,4.07
273,Atikokan,CA,2020-02-24 03:39:55,48.76,-91.62,28.94,86,99,14.16
274,Tautira,PF,2020-02-24 03:39:55,-17.73,-149.15,86.0,66,40,13.87
275,San Quintin,MX,2020-02-24 03:39:55,30.48,-115.95,57.34,81,8,16.55
276,Tuatapere,NZ,2020-02-24 03:39:55,-46.13,167.68,69.21,38,18,2.68
277,Puerto Ayora,EC,2020-02-24 03:39:56,-0.74,-90.35,79.0,100,88,1.01
278,Agnibilekrou,CI,2020-02-24 03:39:56,7.13,-3.2,76.39,86,71,3.8
279,Jiayuguan,CN,2020-02-24 03:39:56,39.82,98.3,41.97,24,0,10.45
280,Ilebo,CD,2020-02-24 03:39:56,-4.32,20.58,71.55,94,100,2.1
281,Vikulovo,RU,2020-02-24 03:39:57,56.82,70.61,19.9,96,100,7.31
282,Mujiayingzi,CN,2020-02-24 03:39:57,42.12,118.78,32.25,58,95,5.3
283,Murgab,TM,2020-02-24 03:39:57,37.5,61.97,42.8,87,0,4.7
284,Tarauaca,BR,2020-02-24 03:37:45,-8.16,-70.77,71.2,89,95,1.07
285,Palencia,ES,2020-02-24 03:39:57,42.42,-4.5,39.99,90,0,1.01
286,Mahibadhoo,MV,2020-02-24 03:39:58,3.78,72.97,82.96,78,68,18.19
287,Nuuk,GL,2020-02-24 03:39:58,64.18,-51.72,15.8,43,100,6.93
288,Flinders,AU,2020-02-24 03:37:44,-34.58,150.86,86.0,45,0,17.22
289,Saint-Paul-Les-Dax,FR,2020-02-24 03:39:58,43.73,-1.05,46.99,87,0,3.36
290,Temeni,GR,2020-02-24 03:39:58,38.23,22.12,42.01,93,20,3.22
291,Tandil,AR,2020-02-24 03:36:28,-37.32,-59.13,64.99,70,0,3.0
292,Dryden,CA,2020-02-24 03:39:59,49.78,-92.75,33.8,64,90,12.75
293,Tomatlan,MX,2020-02-24 03:39:59,19.93,-105.25,72.05,50,0,2.86
294,Huanan,CN,2020-02-24 03:39:59,46.22,130.52,21.76,85,43,18.07
295,Cap Malheureux,MU,2020-02-24 03:39:59,-19.98,57.61,80.01,94,20,4.7
296,Bathsheba,BB,2020-02-24 03:39:59,13.22,-59.52,78.8,83,20,14.99
297,Acajutla,SV,2020-02-24 03:38:51,13.59,-89.83,82.27,72,0,11.99
298,Mount Gambier,AU,2020-02-24 03:40:00,-37.83,140.77,75.2,53,90,10.29
299,Husavik,IS,2020-02-24 03:40:00,66.04,-17.34,26.02,92,100,6.04
300,San Juan,AR,2020-02-24 03:40:00,-31.54,-68.54,75.42,38,0,7.23
301,Marystown,CA,2020-02-24 03:40:01,47.17,-55.15,30.4,85,0,8.81
302,Aktas,KZ,2020-02-24 03:40:01,49.78,72.96,12.2,92,40,6.71
303,Sorong,ID,2020-02-24 03:35:21,-0.88,131.25,91.24,54,100,3.65
304,Cockburn Town,TC,2020-02-24 03:40:01,21.46,-71.14,73.67,66,0,16.26
