City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
192,Faya,SA,2020-02-27 02:36:10,18.39,42.45,57.2,35,40,5.28,scattered clouds,0.0,0.0
193,Ust-Nera,RU,2020-02-27 02:36:10,64.57,143.2,-19.5,96,97,4.29,overcast clouds,0.0,0.0
194,Los Llanos De Aridane,ES,2020-02-27 02:36:10,28.66,-17.92,62.6,93,75,11.41,broken clouds,0.0,0.0
195,Lahore,PK,2020-02-27 02:31:13,31.55,74.34,57.2,87,40,5.97,mist,0.0,0.0
196,Kachiry,KZ,2020-02-27 02:36:11,53.07,76.1,23.0,85,29,14.43,scattered clouds,0.0,0.0
197,Lagoa,PT,2020-02-27 02:36:11,39.05,-27.98,61.74,87,0,11.12,clear sky,0.0,0.0
198,Betamcherla,IN,2020-02-27 02:36:11,15.47,78.17,77.61,61,30,8.16,scattered clouds,0.0,0.0
199,Torun,PL,2020-02-27 02:36:12,53.01,18.6,39.99,80,75,14.99,broken clouds,0.0,0.0
200,Port Shepstone,ZA,2020-02-27 02:36:12,-30.74,30.45,68.9,77,68,4.97,broken clouds,0.0,0.0
201,Lompoc,US,2020-02-27 02:32:35,34.64,-120.46,64.4,44,1,5.82,clear sky,0.0,0.0
202,Puerto Escondido,MX,2020-02-27 02:36:13,15.85,-97.07,82.4,83,75,4.7,broken clouds,0.0,0.0
203,Paamiut,GL,2020-02-27 02:36:13,61.99,-49.67,0.03,56,0,8.32,clear sky,0.0,0.0
204,Severo-Kurilsk,RU,2020-02-27 02:36:13,50.68,156.12,26.22,92,100,4.88,light snow,0.0,0.01
205,Bam,IR,2020-02-27 02:36:13,29.11,58.36,56.71,49,0,20.51,clear sky,0.0,0.0
206,High Rock,BS,2020-02-27 02:36:13,26.62,-78.28,76.46,79,67,21.39,light rain,0.044,0.0
207,Ribeira Grande,PT,2020-02-27 02:36:14,38.52,-28.7,58.69,91,66,12.55,broken clouds,0.0,0.0
208,Kurilsk,RU,2020-02-27 02:36:14,45.23,147.88,20.28,73,100,11.32,light snow,0.0,0.005
209,Folkestone,GB,2020-02-27 02:33:11,51.08,1.18,41.0,86,100,4.7,light rain,0.0,0.0
210,Talnakh,RU,2020-02-27 02:36:14,69.49,88.4,15.8,85,100,35.79,overcast clouds,0.0,0.0
211,Hokitika,NZ,2020-02-27 02:36:15,-42.72,170.97,63.28,81,90,18.61,overcast clouds,0.0,0.0
212,Tiksi,RU,2020-02-27 02:36:15,71.69,128.87,-0.69,84,100,19.13,overcast clouds,0.0,0.0
213,Kolda,SN,2020-02-27 02:33:06,12.88,-14.95,75.25,31,0,3.49,clear sky,0.0,0.0
214,Salinas,US,2020-02-27 02:36:15,36.68,-121.66,62.01,37,23,2.46,few clouds,0.0,0.0
215,Chicama,PE,2020-02-27 02:36:15,-7.84,-79.15,71.6,88,26,12.75,mist,0.0,0.0
216,Eydhafushi,MV,2020-02-27 02:36:15,5.1,73.07,81.7,72,67,14.83,broken clouds,0.0,0.0
217,Flinders,AU,2020-02-27 02:36:16,-34.58,150.86,79.0,56,40,14.99,scattered clouds,0.0,0.0
218,Klaksvik,FO,2020-02-27 02:36:16,62.23,-6.59,33.8,86,57,6.93,light snow,0.0,0.032
219,Coihaique,CL,2020-02-27 02:36:16,-45.58,-72.07,59.0,72,100,3.36,light rain,0.015,0.0
220,Kavieng,PG,2020-02-27 02:36:16,-2.57,150.8,85.17,74,9,7.87,clear sky,0.0,0.0
221,Fortuna,US,2020-02-27 02:36:16,40.6,-124.16,50.0,81,1,5.82,clear sky,0.0,0.0
222,Nova Olimpia,BR,2020-02-27 02:36:17,-14.8,-57.29,73.26,96,100,2.98,overcast clouds,0.0,0.0
223,Bonavista,CA,2020-02-27 02:36:13,48.65,-53.11,25.61,91,96,13.35,light snow,0.0,0.005
224,Palmer,US,2020-02-27 02:31:52,42.16,-72.33,46.4,81,90,9.17,overcast clouds,0.0,0.0
225,Petatlan,MX,2020-02-27 02:36:17,17.52,-101.27,78.8,69,5,3.44,clear sky,0.0,0.0
226,Margate,GB,2020-02-27 02:36:17,51.38,1.39,41.0,86,100,4.7,overcast clouds,0.0,0.0
227,Ormara,PK,2020-02-27 02:36:18,25.21,64.64,73.6,75,100,10.29,overcast clouds,0.0,0.0
228,Sibolga,ID,2020-02-27 02:36:18,1.74,98.78,85.95,58,5,3.53,clear sky,0.0,0.0
229,Jiuquan,CN,2020-02-27 02:36:18,39.74,98.52,37.08,35,53,2.98,broken clouds,0.0,0.0
230,Bardiyah,LY,2020-02-27 02:36:18,31.76,25.09,62.35,53,100,12.06,overcast clouds,0.0,0.0
231,Comodoro Rivadavia,AR,2020-02-27 02:36:18,-45.87,-67.5,73.4,38,95,31.09,overcast clouds,0.0,0.0
